Comment,Designator,Footprint,Quantity,Notes
JST_PH_BAT,J2,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
U.FL,J3,Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
MICROSD,J5,Connector_Card:microSD_HC_Hirose_DM3D-SF,1,"Hand-solder (through-hole, special, or not in LCSC)"
BNO085_SOCKET,J8,Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
HOSYOND_3.5_TFT,J9,Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
I2C_EXP1,J10,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
I2C_EXP2,J11,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
I2C_EXP3,J12,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
GPIO_EXP,J13,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
UART_DBG,J14,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
J_AUX,J15,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
QI_PADS,J_QI1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,"Hand-solder (through-hole, special, or not in LCSC)"
GNSS_TXD,TP1,TestPoint:TestPoint_Pad_1.0x1.0mm,1,"Hand-solder (through-hole, special, or not in LCSC)"
GNSS_RXD,TP2,TestPoint:TestPoint_Pad_1.0x1.0mm,1,"Hand-solder (through-hole, special, or not in LCSC)"
GNSS_RESET_N,TP3,TestPoint:TestPoint_Pad_1.0x1.0mm,1,"Hand-solder (through-hole, special, or not in LCSC)"
GND,TP4,TestPoint:TestPoint_Pad_1.0x1.0mm,1,"Hand-solder (through-hole, special, or not in LCSC)"
ESP32_DEVKIT_V1,U4,b1_Library:ESP32DEVIKITV1,1,"Hand-solder (through-hole, special, or not in LCSC)"
