Comment,Designator,Footprint,JLCPCB Part#(optional)
100nF,"C1,C3,C5,C9,C13,C16",0603,C14663
10uF,"C2,C4,C7,C12,C15",0603,C19702
22uF,C8,0603,C59461
10nF,C10,0402,C15195
100pF,C11,0402,C1546
10nF,C14,0603,C57112
BLUE,D1,0603,C72041
YELLOW,D2,0603,C72038
GREEN,D3,0603,C72043
RED,D4,0603,C2286
WHITE,D5,0603,C2290
CYAN,D6,0603,C72043
SS14,D7-D10,SMA,C2480
BAT54,D11,SOD-323,C358488
22uH,L1,SRN6045TA,C167219
33nH,L2,0402,C86062
2N3904,Q_INV1,SOT-23,C20526
AO3401A,Q_PWR1,SOT-23,C15127
100k,"R1,R2,R10,R12,R15",0603,C25803
2k,R6,0603,C4109
10k,"R7,R13,R14,R16,R23-R28",0603,C25804
1k,"R8,R9",0603,C21190
13.7k,R11,0603,C22793
220,R17-R19,0603,C22962
470,R20,0603,C23179
4.7k,"R21,R22",0603,C23162
TP4056,U2,SOIC-8-EP,C16581
MT3608,U3,SOT-23-6,C84817
SN74LVC1G74,U_FF1,SM-8,C8543
DRV5032AJ,U_HALL1,SOT-23,C266120
MAX809T,U_RST1,SOT-23,C236653
LC29HEAMD,U1,GPSM-SMD-24,C28453488
