Designator,Mid X,Mid Y,Layer,Rotation
C1,161.2250mm,-98.9900mm,Top,0.00
C2,156.7750mm,-93.5000mm,Top,0.00
C3,157.0000mm,-98.0000mm,Top,0.00
C4,109.2250mm,-117.0000mm,Top,0.00
C5,109.2250mm,-121.0000mm,Top,0.00
C7,156.7750mm,-102.5000mm,Top,0.00
C8,113.2750mm,-123.0000mm,Top,0.00
C9,153.7250mm,-129.0000mm,Top,0.00
C10,109.5000mm,-67.5000mm,Top,0.00
C11,109.4800mm,-69.4700mm,Top,0.00
C12,128.0000mm,-107.0000mm,Top,0.00
C13,128.0000mm,-108.5000mm,Top,0.00
C14,128.0000mm,-110.0000mm,Top,0.00
C15,128.0000mm,-111.5000mm,Top,0.00
C16,128.0000mm,-113.0000mm,Top,0.00
D1,104.5000mm,-103.5000mm,Top,180.00
D2,104.5000mm,-80.0000mm,Top,180.00
D3,104.5000mm,-84.5000mm,Top,180.00
D4,104.5000mm,-90.5000mm,Top,180.00
D5,104.5000mm,-94.5000mm,Top,180.00
D6,104.5000mm,-99.0000mm,Top,180.00
D7,170.0000mm,-85.0500mm,Top,180.00
D8,170.0000mm,-80.5000mm,Top,180.00
D9,174.5000mm,-131.5000mm,Top,-90.00
D10,170.0000mm,-68.4500mm,Top,180.00
D11,157.5500mm,-109.5000mm,Top,0.00
J3,104.5000mm,-72.9750mm,Top,0.00
J5,129.0000mm,-98.5000mm,Top,-90.00
L1,168.0000mm,-134.5000mm,Top,0.00
L2,109.5200mm,-71.4500mm,Top,0.00
Q_INV1,104.1875mm,-116.1500mm,Top,0.00
Q_PWR1,104.1875mm,-123.2500mm,Top,0.00
R1,161.0000mm,-93.4900mm,Top,0.00
R2,161.0000mm,-96.0000mm,Top,0.00
R6,153.6750mm,-124.0000mm,Top,0.00
R7,143.5000mm,-95.4700mm,Top,0.00
R8,143.5000mm,-97.9800mm,Top,0.00
R9,143.5000mm,-100.4900mm,Top,0.00
R10,143.5000mm,-103.0000mm,Top,0.00
R11,143.6750mm,-105.5000mm,Top,0.00
R12,112.0000mm,-129.5000mm,Top,0.00
R13,110.8250mm,-132.5000mm,Top,0.00
R14,153.6750mm,-126.0000mm,Top,0.00
R15,109.1750mm,-81.4900mm,Top,0.00
R16,109.1750mm,-85.0000mm,Top,0.00
R17,109.1750mm,-87.5100mm,Top,0.00
R18,109.1750mm,-90.0200mm,Top,0.00
R19,109.1750mm,-92.5300mm,Top,0.00
R20,116.6750mm,-125.0000mm,Top,0.00
R21,145.3250mm,-84.0000mm,Top,0.00
R22,156.5000mm,-84.0000mm,Top,0.00
R23,117.0000mm,-105.0000mm,Top,0.00
R24,117.0000mm,-102.0000mm,Top,0.00
R25,117.0000mm,-99.0000mm,Top,0.00
R26,117.0000mm,-96.0000mm,Top,0.00
R27,117.0000mm,-93.5000mm,Top,0.00
R28,161.0000mm,-120.9500mm,Top,0.00
U1,120.0000mm,-75.0000mm,Top,0.00
U2,175.1500mm,-123.5000mm,Top,0.00
U3,168.3625mm,-122.0000mm,Top,0.00
U_FF1,158.5249mm,-126.6750mm,Top,0.00
U_HALL1,105.0000mm,-130.5000mm,Top,0.00
U_RST1,163.4375mm,-127.0500mm,Top,0.00
